country_code,country,who_region,iso3,lat,lon
NGA,Nigeria,AFRO,NGA,9.0574,7.4898
KEN,Kenya,AFRO,KEN,-1.2833,36.8167
GHA,Ghana,AFRO,GHA,5.556,-0.1969
UGA,Uganda,AFRO,UGA,0.3163,32.5822
ZAF,South Africa,AFRO,ZAF,-33.9258,18.4232
EGY,Egypt,EMRO,EGY,30.0392,31.2394
PAK,Pakistan,EMRO,PAK,33.7035,73.0594
JOR,Jordan,EMRO,JOR,31.9552,35.945
THA,Thailand,SEARO,THA,13.722,100.5252
IND,India,SEARO,IND,28.6667,77.2167
PHL,Philippines,WPRO,PHL,14.6042,120.9822
VNM,Vietnam,WPRO,VNM,21.0245,105.8412
CHN,China,WPRO,CHN,39.9075,116.3972
JPN,Japan,WPRO,JPN,35.6895,139.6917
USA,United States,AMRO,USA,38.8951,-77.0364
BRA,Brazil,AMRO,BRA,-15.7797,-47.9297
COL,Colombia,AMRO,COL,4.6097,-74.0818
PER,Peru,AMRO,PER,-12.0432,-77.0282
GBR,United Kingdom,EURO,GBR,51.5085,-0.1257
FRA,France,EURO,FRA,48.8534,2.3488
DEU,Germany,EURO,DEU,52.5244,13.4105
